x_pix,y_pix,UA_kV,UG1_V
204.72921503771767,240.34940532571025,1.0320533604902178,340.1603123792496
208.723740454694,243.94447820098898,1.065332835626697,338.8856192653849
210.9873048576473,248.4716070068955,1.0841912048707019,337.2804501590367
213.9166234967633,253.3981883544997,1.10859615330412,335.5336484844812
218.0442997609722,258.7242222438015,1.1429849442784819,333.6452142417187
221.10676924732076,262.71874766077786,1.1684992085497825,332.22888855964686
224.16923873366926,267.37902731391694,1.194013472821083,330.57650859722946
228.29691499787816,271.7730052725909,1.2284022637954448,329.0185503469503
230.56047940083147,276.16698323126496,1.24726063303945,327.46059209667123
233.88925058164506,279.6289052593111,1.2749935289865155,326.2331098388755
236.41911667906345,282.95767644012477,1.296070529906286,325.0528384371489
239.7478878598771,287.8842577877289,1.323803425853352,323.3060367625935
244.0087149713185,292.0119340519378,1.3593015326655962,321.84250022445246
247.60378784659724,296.2727611633793,1.3892530602884277,320.3317528302424
250.39995563848072,299.73468319142546,1.4125486928839632,319.1042705724468
253.99502851375945,302.26454928884385,1.4425002205067945,318.20726430713444
256.79119630564287,305.72647131689,1.4657958531023298,316.97978204933884
260.78572172261926,309.8541475810989,1.499075328238809,315.5162455111978
263.44873866727016,313.3160696091451,1.521261644996462,314.28876325340207
265.9786047646885,315.97908655379604,1.5423386459162318,313.3445461320209
269.8399793344323,319.3078577346096,1.5745088052148282,312.1642747302942
273.03559966801345,322.50347806819076,1.6011323853240123,311.0312141846367
278.0953318628501,326.89745602686475,1.6432863871635521,309.47325593435755
281.8235555853614,330.3593780549109,1.6743472306242662,308.24577367656184
285.41862846064015,333.554998388492,1.7042987582470974,307.11271313090435
289.54630472484905,337.68267465270094,1.7386875492214593,305.6491765927632
295.2717911558485,340.74514413904944,1.7863881302504125,304.5633269031748
297.9450855314372,344.29839889371755,1.80866007107392,303.30346110219807
303.8629009639948,349.0141580665369,1.8579629972020373,301.63140994975197
311.53756785309287,354.93197349909445,1.9219027295244395,299.53314968001587
315.7909976952436,358.3532105460418,1.9573392076790237,298.3200929615746
321.06155206486517,362.60664038819255,2.001249626261878,296.8119683927017
326.7944357651553,367.13746782874443,2.0490118359484915,295.2054878736849
332.989648796114,370.466239009558,2.100625836738864,294.0252164719583
338.44513489800306,375.27446404851105,2.146076971763223,292.3203800027977
346.0273359209674,379.15803042612697,2.2092463458648726,290.9433967007833
353.7746321588692,384.5867502488146,2.2737911729996445,289.0185534458201
361.63423078023476,389.1175776893665,2.3392716217635505,287.4120729268034
369.586295267734,395.4052565864589,2.405522428748208,285.1826713902086
379.3876770779075,401.04567442061534,2.4871804001479028,283.18276707061636
390.02125168328433,407.1484215854403,2.575771595534363,281.0189361674509
396.682662825935,410.49921485837547,2.6312696192929685,279.8308564652658
402.78540999075994,413.4581225746543,2.6821132618625896,278.78172633039765
408.6107595571838,416.6944278893342,2.730645829769955,277.6342402453856
413.9737797929391,419.37593800721186,2.7753266065735613,276.68346606066154
418.4121413673573,421.87251639282204,2.8123038011696493,275.7982625093665
424.7922861305834,424.6464923768334,2.8654585184015255,274.81470300792773
430.61763569700724,428.2526611560482,2.913991086308891,273.53607565605716
434.8334882996371,430.17902742577326,2.949114498284695,272.85305033112274
439.8266450708576,432.2872491736219,2.990713842205294,272.1055451100293
445.70747415696167,435.726979393796,3.0397086250451104,270.8859313282451
454.1403611483562,438.72287345652825,3.1099652947776777,269.82368706669115
461.24173966742524,442.38452175542324,3.1691288061314182,268.5253885247919
471.6718893673079,447.1557604479228,3.2560252134322245,266.83366618231696
480.6595715555047,449.8187773925737,3.330904032489303,265.8894490609358
488.537663350097,453.92426184891053,3.3965385528973586,264.43378099880624
495.860959947887,457.14207399036366,3.457550923980904,263.2928519771373
504.73768309672334,460.24892709245637,3.53150531317308,262.1912653355257
509.1881317169389,462.0370780119237,3.5685832082274445,261.5572465707686
512.6500537449851,463.6348881787143,3.597425420012394,260.9907162979399
517.5766350925893,465.2326983455048,3.638470106014051,260.424186025111
523.0358198291236,467.3631119012255,3.683952055367239,259.66881232800597
527.6960994822628,469.49352545694626,3.7227781096931323,258.91343863090106
532.4895299826344,470.82503392927174,3.7627134798569073,258.44133007021037
536.7503570940758,472.42284409606225,3.798211586669151,257.87479979738157
540.6117316638196,473.88750341562024,3.830381745967747,257.3554803806219
545.0057096224937,474.95271019348064,3.8669891686178754,256.9777935320693
549.9322909700978,477.3494254436664,3.9080338546195326,256.12799812282617
554.9920231649345,478.94723561045697,3.9501878564590727,255.56146784999737
560.3180570542363,480.27874408278245,3.9945604899743783,255.0893592893068
565.6440909435381,482.40915763850313,4.0389331234896835,254.33398559220177
572.7010858468631,484.80587288868895,4.0977268628974635,253.4841901829585
577.7608180416997,486.4036830554795,4.139880864737004,252.91765991012971
584.0189078616294,488.00149322227,4.192018709117487,252.35112963730103
588.5460366675359,489.8656050835257,4.229735447605497,251.6901776523341
594.1383722513028,491.3302644030837,4.2763267127965685,251.17085823557431
599.3312552933721,492.92807456987424,4.319590030473991,250.60432796274551
604.1246857937438,494.9253372783624,4.359525400637766,249.8961651217096
608.8774016481913,495.82124107567415,4.399121566038703,249.5785074717155
614.0554901516791,497.0232973354124,4.442261626400804,249.15229835442528
620.0657714503703,498.3178194612844,4.4923349107496735,248.69330392042048
624.3192012925211,499.6123415871563,4.527771388904259,248.23430948641567
629.497289796009,501.64659064209803,4.57091144926636,247.51303251869388
634.6753782994969,502.57124930343514,4.614051509628464,247.18517935154762
639.6685350707173,503.9582372954408,4.655650853549061,246.69339960082823
645.1240211726063,505.80755461811503,4.701101988573419,246.0376932665357
650.2554891261166,506.67907721468316,4.7438536404834855,245.72868037835144
656.3582362909415,508.89825800189226,4.794697283053106,244.94183277720037
663.570573849371,510.28524599389795,4.85478522427175,244.45005302648087
670.2281162109982,512.0420974504384,4.91025101616588,243.82713200890294
677.6253855016953,513.9838806392464,4.971879673826027,243.13864035789572
683.2226229303412,514.7004296156804,5.018511777616869,242.88457595428156
689.695233559701,516.8271445367558,5.072436853069497,242.13051366984507
693.1164706066484,517.9367349303603,5.100940107237314,241.73708986926943
698.2945591101363,518.8613935916974,5.144080167599418,241.40923670212328
701.8082620232174,520.0634498514356,5.173353779987987,240.98302758483305
707.7648242813058,521.2860670164554,5.222979516433294,240.54952825527573
713.5901738477296,522.8579867407285,5.2715120843406575,239.99217787112696
718.305933020549,523.7826454020656,5.310800353599002,239.6643247039807
723.6689532563042,525.6319627247399,5.355481130402609,239.00861836968807
729.1244393581933,527.2963483151467,5.400932265426967,238.4184826688247
737.0079612209231,526.8790279059534,5.466612025206089,238.56645058778747
743.6655035825504,528.5434134963602,5.522077817100221,237.97631488692411
750.4155118103114,530.2077990867671,5.578313967215106,237.38617918606076
758.9223714946129,531.6872529449064,5.649186923524273,236.8616141186268
764.8401869271704,532.9817750707784,5.6984898496523915,236.40261968462198
770.8554295802926,533.3826597238105,5.748604468391254,236.26047933742962
776.8472177057572,535.0470453142174,5.798523681095972,235.67034363656626
782.6170877525008,536.7114309046242,5.846594034070886,235.0802079357029
787.2773674056399,537.7100622588682,5.885420088396781,234.726126515185
791.937647058779,538.4867755343914,5.924246142722672,234.45072985478214
797.9294351842435,539.8182840067169,5.974165355427392,233.97862129409145
803.5276933176953,540.6935147064352,6.02080596298693,233.66829363602199
807.5222187346717,541.8031051000397,6.05408543812341,233.27486983544657
810.1852356793225,542.2469412574815,6.076271754881064,233.11750031521626
815.384688076449,543.7580611862481,6.119589803638017,232.58170751372177
822.2641485167971,544.6457335011318,6.176904455261954,232.2669684732614
829.4764860752267,545.3114877372944,6.2369923964805976,232.03091419291616
837.9093730666212,546.0882010128176,6.307249066213164,231.75551753251307
847.0788740196967,546.7677670874394,6.383642666735747,231.5145660342298
852.9597031058008,547.877357481044,6.432637449575562,231.12114223365415
860.1720406642304,549.2088659533695,6.492725390794207,230.64903367296347
867.0515011045785,550.2074973076135,6.550040042418143,230.29495225244557
876.926855607659,551.539005779939,6.632314300394439,229.822843691755
885.5816606777744,552.6485961735435,6.70441982985681,229.42941989117935
