x_pix,y_pix,UA_kV,UG1_V
203.95141805305792,447.5774830678895,1.0255733227610286,266.68413738602226
210.50243973689916,446.29923493445705,1.0801516619848546,267.1373616042853
217.3730234540985,444.3818627343084,1.1373923592195987,267.81719793167974
225.8414173380884,441.9851474841226,1.2079448465089346,268.6669933409229
233.35112512200396,439.26887020057865,1.2705102597655156,269.6300948047318
242.77820510606819,437.83084105046714,1.3490498210876065,270.13997205027783
252.5248471234905,436.7123739337138,1.4302517404206159,270.53654324125796
263.0703942243081,435.27434478360226,1.5181095547809207,271.04642048680387
272.9768172584095,432.87762953341644,1.6006426531193894,271.896215896047
282.0843352091156,432.23850546670025,1.676519856430562,272.12282800517846
294.22769247672375,430.80047631658874,1.7776894608454585,272.63270525072437
307.9688599111224,430.16135224987255,1.892170855314947,272.8593173598558
317.2257570981217,429.439311177551,1.9692925775767307,273.115329077767
327.4517421655812,428.9599681275139,2.054488033926118,273.2852881596157
341.67225265001707,427.6817199940814,2.1729629654119837,273.7385123778788
354.93407703437856,428.32084406079764,2.2834508228650945,273.51190026874724
365.6394051518752,428.8001871108348,2.372639816230859,273.34194118689857
379.8599156363111,428.1610630441186,2.491114747716725,273.56855329603
395.6782362875375,428.1610630441186,2.6229014692571826,273.56855329603
405.7444403383179,428.4806250774767,2.7067657466011097,273.45524724146435
422.5203631352016,428.433064020928,2.8465305114559505,273.4721108081775
433.3854722693774,428.7526260542861,2.9370506838271746,273.3588047536116
447.76576377049224,428.59284503760705,3.056856794318499,273.4154577808946
458.32347979353995,428.9367040114857,3.144815991271859,273.2935368403879
469.25250133438726,429.1284412315006,3.235868635245266,273.22555320764843
484.2080044955468,428.7449667914708,3.360466990156244,273.36152047312737
500.88914263684006,427.97801791141137,3.4994420783261813,273.63345500408525
514.8859596979253,428.1697551314262,3.616053359204405,273.5654713713458
530.9918861791739,428.3614923514411,3.7502362029546883,273.4974877386063
547.864761540482,428.3614923514411,3.8908087059311764,273.4974877386063
563.3954763616862,427.97801791141137,4.020199305261808,273.63345500408525
575.2892827801019,426.41641182215375,4.119289833838135,274.1871485167353
586.0649145449373,426.1863271581359,4.209064545966301,274.2687288760227
599.8699943860076,426.64649648617154,4.324078412037973,274.1055681574478
614.1352435551136,426.1863271581359,4.442926073645368,274.2687288760227
625.8695614200233,427.1066658142072,4.540687859806288,273.94240743887326
639.6746412610937,425.956242494118,4.655701725877961,274.35030923530996
653.2496364381461,426.1863271581359,4.768798694181772,274.2687288760227
