x_pix,y_pix,UA_kV,UG1_V
317.2187177267545,1601.4880595256793,0.9471329184490639,-223.4086102728054
323.99166173046484,1605.2978405277663,0.9934569277439139,-225.95950822988323
331.32901773448435,1609.6720335301627,1.0436412711466678,-228.88831699541726
339.654094739045,1614.4695355327908,1.1005811992382544,-232.10055886729305
347.55586274337367,1617.9971105347233,1.1546258767489126,-234.46250142014304
356.7275577483981,1622.3713035371195,1.2173563060023556,-237.39131018567684
366.0403557534998,1627.8743205401342,1.2810518187827742,-241.0759405681228
376.90528675945177,1631.9663075423757,1.3553632503599293,-243.81579392942854
388.61683576586756,1638.1748395457769,1.4354651830989407,-247.97281282244444
399.9273855325899,1641.827530680068,1.5128244543754312,-250.41852882218188
411.9211405391602,1646.060620682387,1.5948565541683946,-253.2528598856017
426.31364654704464,1649.3059896841648,1.6932950739199506,-255.42584703422358
437.8840925533831,1653.8212856866385,1.7724319231319858,-258.44913350187153
457.9207185643595,1659.1831996895758,1.909473783962584,-262.03928618220334
471.3255035717028,1662.8518776915855,2.0011567190253077,-264.49570643716726
491.5032325827565,1666.379452693518,2.139163663382881,-266.85764899001725
510.8509222551687,1669.1991572156494,2.2714934974591277,-268.7456258845232
532.3691297669567,1672.3739747173886,2.4186687353229734,-270.8713741820881
556.4742256134952,1676.0191355527188,2.583537171181381,-273.31204815336633
586.6937847967166,1677.9005088870829,2.7902258932087496,-274.57175084821966
607.3388469440263,1679.2245818123413,2.931429194207668,-275.4583044108033
648.8231289667518,1679.506787812496,3.2151637511386224,-275.6472598150314
706.1109469981348,1680.494508813037,3.606987663090893,-276.3086037298294
765.0906374110526,1679.5187154184164,4.010383250799673,-275.6552461285645
824.0152502433323,1681.7537869396408,4.413402131664866,-277.15177293005024
887.0354243861693,1683.6346930913783,4.844432881536205,-278.41116281553025
964.6533626686894,1683.8378814114897,5.375306028055183,-278.54721070657445
1009.0853101134867,1684.242268431682,5.679201342307527,-278.8179743077139
1106.3718777827817,1683.7546164634148,6.344599411818751,-278.4914593692078
1177.8128911339181,1684.7299203999492,6.833225061860827,-279.1444892462198
1246.3378393439953,1684.4002208548116,7.301906086844021,-278.9237338023556
1389.4149268335748,1685.5705855786528,8.280491518395863,-279.70736965477
1496.7958902459995,1686.740950302494,9.014930891360132,-280.49100550718435
1601.8361242107421,1688.789088569216,9.7333606867121,-281.8623682489094
1692.109804035329,1689.2763816256345,10.350793634774803,-282.18864287242064
1801.3438449271687,1689.2763816256345,11.09790725668214,-282.18864287242064
1881.0548894899111,1688.5208721842378,11.643096345386232,-281.6827798084923
1996.0546137690742,1689.0268070137147,12.429644749373447,-282.02153632027614
2145.978334893124,1688.6756975965623,13.455058195441268,-281.78644556455174
2269.217740313596,1687.6223693451054,14.297962456728865,-281.08117329737894
2394.6133507979307,1687.5403127335871,15.155614228606433,-281.0262310204943
2521.3053321537336,1689.0032686383884,16.02213261687217,-282.00577583601205
2673.020775981368,1686.648893749221,17.059800671737754,-280.42936761420555
2832.1903784237625,1686.9414849301813,18.14845194937416,-280.6252765773091
2997.221448290687,1685.4351787160092,19.27719313050107,-279.61670588981804
3095.824676274303,1685.4351787160092,19.95159658741921,-279.61670588981804
