x_pix,y_pix,UA_kV,UG1_V
1262.6821125643762,1369.0541132314077,7.413693850653041,-67.77885663793677
1267.2679600668882,1364.2330940620998,7.445059065279762,-64.55086848237511
1272.088979236196,1359.0593173925988,7.478032752451445,-61.08668607152845
1278.7913717398676,1352.944854055916,7.5238742199828055,-56.99265231325546
1285.9641075771303,1346.4776332190397,7.572932632604088,-52.662424299697136
1291.6082275802223,1340.1279982155613,7.61153597368313,-48.41092770456737
1296.3116609161323,1334.6014640458673,7.64370542458233,-44.71055103843594
1302.6612959196107,1329.074929876173,7.687134183296252,-41.01017437230439
1307.717486755714,1324.371496540263,7.7217163430128934,-37.86091763517118
1314.4198792593857,1318.8449623705687,7.767557810544257,-34.16054096903963
1319.4760700954887,1312.730499033886,7.802139970260897,-30.06650721076653
1327.0015634329447,1305.9105206968165,7.85361109169962,-25.500084941923433
1332.9984409362298,1300.50157236052,7.894627141596102,-21.878439694220106
1342.758065108243,1292.1529781892798,7.961378752211944,-16.288508985808562
1349.8277957554494,1287.4617737800436,8.009732653858535,-13.147440316192274
1357.568863120801,1278.8388126642087,8.06267820846347,-7.373802964781362
1364.722001319164,1272.9595209943213,8.111602581706004,-3.4372320433649293
1373.7369152129916,1266.0023591849545,8.173260695929475,1.2210435469779668
1384.2216520242907,1257.5753744581157,8.244971763558944,6.8634618676751415
1390.9970522654098,1252.3040276770805,8.29131257245593,10.392973859945869
1395.733148332819,1246.7513633221868,8.323705422319708,14.110846396839293
1403.00060609143,1240.7087579948025,8.373411691938266,18.156766510517514
1411.1662889662734,1234.5844958386697,8.429261433082711,22.257361220326402
1418.8420308686266,1227.8069790525497,8.481760189758493,26.795352699181308
1429.5390754346718,1219.477982520209,8.554923350657717,32.3721615045215
1434.6332020736475,1215.7725236695123,8.589764974867776,34.85320894716983
1445.0036193246988,1208.5867227396498,8.660694146121223,39.6645734066791
1455.129066089505,1200.9109808372968,8.729947825140338,44.8039854429727
1464.4379445668267,1193.7251799074345,8.793616530045007,49.615349902481626
1478.1562917965641,1184.2529877726158,8.88744409516768,55.95760305365275
1492.2829231700434,1173.5559432065706,8.98406414734757,63.11997514678558
1500.0666872580111,1166.7381336748726,9.037301729079001,67.68494525835558
1509.1795893463368,1161.2507947829777,9.099630040196205,71.35907811834443
1517.9005386566696,1154.7835739461013,9.159277563738472,75.68930613190264
1532.0108386643994,1146.552565608259,9.255785916436077,81.20050542188562
1544.0020916952853,1136.8820906879691,9.337800903796868,87.6755218873011
1563.1017937857487,1127.3322396427375,9.468434610008346,94.06977276637645
1581.3887425957664,1115.5473170762816,9.59350943510444,101.9605504469373
1602.723516207454,1105.7942777109388,9.739430064383217,108.49084921705673
1620.9835538532968,1098.6861181320046,9.864320828749046,113.25022770588691
1637.9159138625728,1093.6064101292218,9.980130851986171,116.65142498199077
1653.0139348708437,1088.3855991263617,10.08339478937261,120.1470999602086
1669.3818828798103,1083.870303123888,10.195344478501829,123.17038642785656
1693.8755575748287,1076.1351043890909,10.362870625715727,128.34960870844873
1717.2422143876295,1071.055396386308,10.52268845778296,131.75080598455258
1740.9475184006158,1066.8223063839891,10.684822490314936,134.58513704797247
1753.9512999699787,1065.3905060216046,10.773762735200672,135.54382118686374
1768.5131295779559,1063.697270020677,10.873359355184599,136.6775536122317
1783.752253586304,1063.0199756203058,10.97758837609801,137.13104658237899
1798.1447595941886,1061.1574160192856,11.076026895849568,138.37815225028362
1815.9237376039282,1058.9562092180797,11.197627420248548,139.85200440326196
1828.2843604106997,1057.7709440174303,11.28216873721165,140.64561710101964
1846.232662020532,1055.4004136161318,11.404927361843002,142.23284249653477
1860.7944916285091,1054.2151484154824,11.50452398182693,143.02645519429234
1874.8483504362082,1053.876501215297,11.600646301113745,143.25320167936593
1895.9289490053247,1051.8945752491552,11.744828482971705,144.58023094832936
1914.7238686156209,1048.8467504474856,11.873377608764914,146.62094931399167
1931.1482578246184,1048.3387796472073,11.985713331304927,146.96106904160217
1950.959119035471,1046.6455436462797,12.121211058492362,148.09480146697
1976.3702025416803,1045.2251398910055,12.295011885413269,149.045854830817
2000.781021555053,1044.519624890619,12.461971335580124,149.5182433413869
2029.0016215705127,1043.3908008900007,12.654988040975331,150.27406495829882
2063.65000883776,1042.6961226000203,12.891968032680602,150.7391975813464
2095.163012188357,1039.5213050982811,13.10750335370525,152.86494587891127
2128.5716873106585,1040.9242451937162,13.336004250220315,151.92558557935922
2155.498843158743,1040.101144359932,13.520174356618242,152.47670550835755
2176.9051089571367,1039.8292859131166,13.666583961550687,152.65873254776375
2197.9529731353337,1039.2413567461276,13.810542254324615,153.05238963990553
2223.70257741344,1040.6077981988763,13.98665841699542,152.13746757263345
